"","team","competition","season","wprob","dprob","lprob"
"1","Manchester Utd","Premier League",2025,0.880637750584358,0.0934073755247424,0.0259548738909004
"2","Fulham","Premier League",2025,0.0259548738909004,0.0934073755247424,0.880637750584358
"3","Ipswich Town","Premier League",2025,0.0303454884647976,0.0973165573890207,0.872337954146182
"4","Liverpool","Premier League",2025,0.872337954146182,0.0973165573890207,0.0303454884647976
"5","Newcastle Utd","Premier League",2025,0.0352369721338421,0.167652059451503,0.797110968414655
"6","Southampton","Premier League",2025,0.797110968414655,0.167652059451503,0.0352369721338421
"7","Nott'ham Forest","Premier League",2025,0.40610457814128,0.296034708835283,0.297860713023437
"8","Bournemouth","Premier League",2025,0.297860713023437,0.296034708835283,0.40610457814128
"9","Everton","Premier League",2025,0.0736599324631147,0.230461614869321,0.695878452667565
"10","Brighton","Premier League",2025,0.695878452667565,0.230461614869321,0.0736599324631147
"11","Arsenal","Premier League",2025,0.571927705424468,0.293811246652538,0.134261047922995
"12","Wolves","Premier League",2025,0.134261047922995,0.293811246652538,0.571927705424468
"13","West Ham","Premier League",2025,0.481728386610409,0.227330171831364,0.290941441558227
"14","Aston Villa","Premier League",2025,0.290941441558227,0.227330171831364,0.481728386610409
"15","Brentford","Premier League",2025,0.547455472048582,0.273216317989216,0.179328209962203
"16","Crystal Palace","Premier League",2025,0.179328209962203,0.273216317989216,0.547455472048582
"17","Chelsea","Premier League",2025,0.421450624851399,0.33001955557266,0.248529819575941
"18","Manchester City","Premier League",2025,0.248529819575941,0.33001955557266,0.421450624851399
"19","Leicester City","Premier League",2025,0.323507033155116,0.308012167623279,0.368480799221605
"20","Tottenham","Premier League",2025,0.368480799221605,0.308012167623279,0.323507033155116
"21","Brighton","Premier League",2025,0.550663043259004,0.254174588351743,0.195162368389253
"22","Manchester Utd","Premier League",2025,0.195162368389253,0.254174588351743,0.550663043259004
"23","Tottenham","Premier League",2025,0.73824664680184,0.170842393767495,0.0909109594306651
"24","Everton","Premier League",2025,0.0909109594306651,0.170842393767495,0.73824664680184
"25","Fulham","Premier League",2025,0.683333603895255,0.215559688553447,0.101106707551299
"26","Leicester City","Premier League",2025,0.101106707551299,0.215559688553447,0.683333603895255
"27","Crystal Palace","Premier League",2025,0.346487801459,0.276571272346291,0.37694092619471
"28","West Ham","Premier League",2025,0.37694092619471,0.276571272346291,0.346487801459
"29","Manchester City","Premier League",2025,0.973056755246183,0.0246249722185829,0.00231827253523444
"30","Ipswich Town","Premier League",2025,0.00231827253523444,0.0246249722185829,0.973056755246183
"31","Southampton","Premier League",2025,0.0071266000978545,0.0638751435754411,0.928998256326704
"32","Nott'ham Forest","Premier League",2025,0.928998256326704,0.0638751435754411,0.0071266000978545
"33","Aston Villa","Premier League",2025,0.468589039343686,0.301826193821513,0.229584766834801
"34","Arsenal","Premier League",2025,0.229584766834801,0.301826193821513,0.468589039343686
"35","Bournemouth","Premier League",2025,0.52687172446608,0.240261406670469,0.232866868863451
"36","Newcastle Utd","Premier League",2025,0.232866868863451,0.240261406670469,0.52687172446608
"37","Wolves","Premier League",2025,0.448097897694866,0.24003687707804,0.311865225227094
"38","Chelsea","Premier League",2025,0.311865225227094,0.24003687707804,0.448097897694866
"39","Liverpool","Premier League",2025,0.854927032778203,0.107900316498022,0.0371726507237756
"40","Brentford","Premier League",2025,0.0371726507237756,0.107900316498022,0.854927032778203
"41","Arsenal","Premier League",2025,0.471149977630556,0.229675360228059,0.299174662141385
"42","Brighton","Premier League",2025,0.299174662141385,0.229675360228059,0.471149977630556
"43","Everton","Premier League",2025,0.279171677587661,0.214553371520527,0.506274950891812
"44","Bournemouth","Premier League",2025,0.506274950891812,0.214553371520527,0.279171677587661
"45","Leicester City","Premier League",2025,0.0849762934556264,0.227041763514923,0.68798194302945
"46","Aston Villa","Premier League",2025,0.68798194302945,0.227041763514923,0.0849762934556264
"47","Nott'ham Forest","Premier League",2025,0.408711982975346,0.329174541139384,0.26211347588527
"48","Wolves","Premier League",2025,0.26211347588527,0.329174541139384,0.408711982975346
"49","Ipswich Town","Premier League",2025,0.165464651312569,0.357722532091017,0.476812816596413
"50","Fulham","Premier League",2025,0.476812816596413,0.357722532091017,0.165464651312569
"51","Brentford","Premier League",2025,0.660972333444182,0.176700745920834,0.162326920634984
"52","Southampton","Premier League",2025,0.162326920634984,0.176700745920834,0.660972333444182
"53","West Ham","Premier League",2025,0.0398934711574697,0.0963439878554981,0.863762540987033
"54","Manchester City","Premier League",2025,0.863762540987033,0.0963439878554981,0.0398934711574697
"55","Newcastle Utd","Premier League",2025,0.534075772821378,0.258252734077394,0.207671493101228
"56","Tottenham","Premier League",2025,0.207671493101228,0.258252734077394,0.534075772821378
"57","Chelsea","Premier League",2025,0.868789383250923,0.104710693854522,0.0264999228945546
"58","Crystal Palace","Premier League",2025,0.0264999228945546,0.104710693854522,0.868789383250923
"59","Manchester Utd","Premier League",2025,0.268740429232775,0.258358709643573,0.472900861123652
"60","Liverpool","Premier League",2025,0.472900861123652,0.258358709643573,0.268740429232775
"61","Southampton","Premier League",2025,0.0740638322701192,0.168070025760638,0.757866141969243
"62","Manchester Utd","Premier League",2025,0.757866141969243,0.168070025760638,0.0740638322701192
"63","Brighton","Premier League",2025,0.778909019991052,0.172782768292578,0.0483082117163709
"64","Ipswich Town","Premier League",2025,0.0483082117163709,0.172782768292578,0.778909019991052
"65","Crystal Palace","Premier League",2025,0.706615518515409,0.189040925656593,0.104343555827998
"66","Leicester City","Premier League",2025,0.104343555827998,0.189040925656593,0.706615518515409
"67","Manchester City","Premier League",2025,0.683571345508369,0.194352685331689,0.122075969159942
"68","Brentford","Premier League",2025,0.122075969159942,0.194352685331689,0.683571345508369
"69","Liverpool","Premier League",2025,0.474179756138093,0.361493406479416,0.164326837382491
"70","Nott'ham Forest","Premier League",2025,0.164326837382491,0.361493406479416,0.474179756138093
"71","Fulham","Premier League",2025,0.57581891815578,0.256964333144909,0.167216748699311
"72","West Ham","Premier League",2025,0.167216748699311,0.256964333144909,0.57581891815578
"73","Aston Villa","Premier League",2025,0.674731955334807,0.203209271142856,0.122058773522337
"74","Everton","Premier League",2025,0.122058773522337,0.203209271142856,0.674731955334807
"75","Bournemouth","Premier League",2025,0.652959172895594,0.232315803121012,0.114725023983394
"76","Chelsea","Premier League",2025,0.114725023983394,0.232315803121012,0.652959172895594
"77","Tottenham","Premier League",2025,0.298845078602614,0.375598810330661,0.325556111066726
"78","Arsenal","Premier League",2025,0.325556111066726,0.375598810330661,0.298845078602614
"79","Wolves","Premier League",2025,0.288763260559164,0.270018791066735,0.441217948374101
"80","Newcastle Utd","Premier League",2025,0.441217948374101,0.270018791066735,0.288763260559164
"81","West Ham","Premier League",2025,0.102739667461032,0.177841278299432,0.719419054239536
"82","Chelsea","Premier League",2025,0.719419054239536,0.177841278299432,0.102739667461032
"83","Liverpool","Premier League",2025,0.604242620868827,0.21346170674726,0.182295672383913
"84","Bournemouth","Premier League",2025,0.182295672383913,0.21346170674726,0.604242620868827
"85","Leicester City","Premier League",2025,0.202388070219362,0.321471668253112,0.476140261527527
"86","Everton","Premier League",2025,0.476140261527527,0.321471668253112,0.202388070219362
